Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_PHP_Billion
JPMorgan Chase,599.931,479.94,557.94,34796.0
Bank of America,307.9,246.32,286.35,17858.2
Industrial and Commercial Bank of China,303.543,242.83,282.29,17605.49
Agricultural Bank of China,232.836,186.27,216.54,13504.49
Bank of China,209.295,167.44,194.64,12139.11
China Construction Bank,192.715,154.17,179.22,11177.47
Wells Fargo,192.279,153.82,178.82,11152.18
HSBC,163.544,130.84,152.1,9485.55
Commonwealth Bank,156.639,125.31,145.67,9085.06
Goldman Sachs,156.356,125.08,145.41,9068.65
